JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAGUNA WOODS,Total,"2,4'-DDT",1.0789907241736988e-4,0,1.0789907241736988e-4
LAGUNA WOODS,Dissolved,"2,4'-DDT",0,0,0
RANCHO SANTA MARGARITA,Total,"2,4'-DDT",6.314661259334679e-4,0.0010110212467035033,0.0016424873726369712
RANCHO SANTA MARGARITA,Dissolved,"2,4'-DDT",0,0.0010110212467035033,0.0010110212467035033
LAGUNA NIGUEL,Total,"2,4'-DDT",8.641404420121476e-4,0.0027936370817813615,0.003657777523793509
ALISO VIEJO,Total,"2,4'-DDT",1.7227183756095816e-4,2.3692178358610555e-4,4.091936211470637e-4
LAGUNA NIGUEL,Dissolved,"2,4'-DDT",0,0.0027936370817813615,0.0027936370817813615
ALISO VIEJO,Dissolved,"2,4'-DDT",0,2.3692178358610555e-4,2.3692178358610555e-4
ORANGE CO,Total,"2,4'-DDT",0.001016579028622349,0.001175881308302551,0.0021924603369248997
ORANGE CO,Dissolved,"2,4'-DDT",0,0.001175881308302551,0.001175881308302551
LAGUNA HILLS,Total,"2,4'-DDT",5.7409346763981264e-5,3.091021181685771e-4,3.6651146493255836e-4
LAGUNA HILLS,Dissolved,"2,4'-DDT",0,3.091021181685771e-4,3.091021181685771e-4
DANA POINT,Total,"2,4'-DDT",2.74812226325689e-4,2.607570069541098e-4,5.355692332797988e-4
SAN JUAN CAPISTRANO,Total,"2,4'-DDT",2.661880482168389e-4,8.099770788824466e-4,0.0010761651270992855
DANA POINT,Dissolved,"2,4'-DDT",0,2.607570069541098e-4,2.607570069541098e-4
SAN JUAN CAPISTRANO,Dissolved,"2,4'-DDT",0,8.099770788824466e-4,8.099770788824466e-4
SAN CLEMENTE,Total,"2,4'-DDT",0.0011941831358665287,7.824194682461902e-4,0.001976602604112719
SAN CLEMENTE,Dissolved,"2,4'-DDT",0,7.824194682461902e-4,7.824194682461902e-4
LAGUNA BEACH,Total,"2,4'-DDT",2.3287558443604482e-4,8.889041993599511e-5,3.217660043720399e-4
LAGUNA BEACH,Dissolved,"2,4'-DDT",0,8.889041993599511e-5,8.889041993599511e-5
LAKE FOREST,Total,"4,4'-DDD",1.3694471705235316e-4,5.579059827015083e-5,1.9273531532250398e-4
MISSION VIEJO,Total,"4,4'-DDD",0.0018343573586910632,5.384210580811271e-4,0.0023727784167721904
LAKE FOREST,Dissolved,"4,4'-DDD",0,5.579059827015083e-5,5.579059827015083e-5
MISSION VIEJO,Dissolved,"4,4'-DDD",0,5.384210580811271e-4,5.384210580811271e-4
LAGUNA WOODS,Total,"4,4'-DDD",1.0789907241736988e-4,0,1.0789907241736988e-4
LAGUNA WOODS,Dissolved,"4,4'-DDD",0,0,0
RANCHO SANTA MARGARITA,Total,"4,4'-DDD",6.314661259334679e-4,0.0010110212467035033,0.0016424873726369712
RANCHO SANTA MARGARITA,Dissolved,"4,4'-DDD",0,0.0010110212467035033,0.0010110212467035033
LAGUNA NIGUEL,Total,"4,4'-DDD",8.641404420121476e-4,0.0027936370817813615,0.003657777523793509
ALISO VIEJO,Total,"4,4'-DDD",1.7227183756095816e-4,2.3692178358610555e-4,4.091936211470637e-4
LAGUNA NIGUEL,Dissolved,"4,4'-DDD",0,0.0027936370817813615,0.0027936370817813615
ALISO VIEJO,Dissolved,"4,4'-DDD",0,2.3692178358610555e-4,2.3692178358610555e-4
ORANGE CO,Total,"4,4'-DDD",0.001016579028622349,0.001175881308302551,0.0021924603369248997
ORANGE CO,Dissolved,"4,4'-DDD",0,0.001175881308302551,0.001175881308302551
LAGUNA HILLS,Total,"4,4'-DDD",5.7409346763981264e-5,3.091021181685771e-4,3.6651146493255836e-4
LAGUNA HILLS,Dissolved,"4,4'-DDD",0,3.091021181685771e-4,3.091021181685771e-4
DANA POINT,Total,"4,4'-DDD",2.74812226325689e-4,2.607570069541098e-4,5.355692332797988e-4
SAN JUAN CAPISTRANO,Total,"4,4'-DDD",2.661880482168389e-4,8.099770788824466e-4,0.0010761651270992855
DANA POINT,Dissolved,"4,4'-DDD",0,2.607570069541098e-4,2.607570069541098e-4
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDD",0,8.099770788824466e-4,8.099770788824466e-4
SAN CLEMENTE,Total,"4,4'-DDD",0.0011941831358665287,7.824194682461902e-4,0.001976602604112719
SAN CLEMENTE,Dissolved,"4,4'-DDD",0,7.824194682461902e-4,7.824194682461902e-4
LAGUNA BEACH,Total,"4,4'-DDD",2.3287558443604482e-4,8.889041993599511e-5,3.217660043720399e-4
LAGUNA BEACH,Dissolved,"4,4'-DDD",0,8.889041993599511e-5,8.889041993599511e-5
LAKE FOREST,Total,"4,4'-DDE",1.3694471705235316e-4,5.579059827015083e-5,1.9273531532250398e-4
MISSION VIEJO,Total,"4,4'-DDE",0.0018343573586910632,5.384210580811271e-4,0.0023727784167721904
LAKE FOREST,Dissolved,"4,4'-DDE",0,5.579059827015083e-5,5.579059827015083e-5
MISSION VIEJO,Dissolved,"4,4'-DDE",0,5.384210580811271e-4,5.384210580811271e-4
LAGUNA WOODS,Total,"4,4'-DDE",1.0789907241736988e-4,0,1.0789907241736988e-4
LAGUNA WOODS,Dissolved,"4,4'-DDE",0,0,0
RANCHO SANTA MARGARITA,Total,"4,4'-DDE",6.314661259334679e-4,0.0010110212467035033,0.0016424873726369712
RANCHO SANTA MARGARITA,Dissolved,"4,4'-DDE",0,0.0010110212467035033,0.0010110212467035033
LAGUNA NIGUEL,Total,"4,4'-DDE",8.641404420121476e-4,0.0027936370817813615,0.003657777523793509
ALISO VIEJO,Total,"4,4'-DDE",1.7227183756095816e-4,2.3692178358610555e-4,4.091936211470637e-4
LAGUNA NIGUEL,Dissolved,"4,4'-DDE",0,0.0027936370817813615,0.0027936370817813615
ALISO VIEJO,Dissolved,"4,4'-DDE",0,2.3692178358610555e-4,2.3692178358610555e-4
ORANGE CO,Total,"4,4'-DDE",0.001016579028622349,0.001175881308302551,0.0021924603369248997
ORANGE CO,Dissolved,"4,4'-DDE",0,0.001175881308302551,0.001175881308302551
LAGUNA HILLS,Total,"4,4'-DDE",5.7409346763981264e-5,3.091021181685771e-4,3.6651146493255836e-4
LAGUNA HILLS,Dissolved,"4,4'-DDE",0,3.091021181685771e-4,3.091021181685771e-4
DANA POINT,Total,"4,4'-DDE",2.74812226325689e-4,2.607570069541098e-4,5.355692332797988e-4
SAN JUAN CAPISTRANO,Total,"4,4'-DDE",2.661880482168389e-4,8.099770788824466e-4,0.0010761651270992855
DANA POINT,Dissolved,"4,4'-DDE",0,2.607570069541098e-4,2.607570069541098e-4
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDE",0,8.099770788824466e-4,8.099770788824466e-4
SAN CLEMENTE,Total,"4,4'-DDE",0.0011941831358665287,7.824194682461902e-4,0.001976602604112719
SAN CLEMENTE,Dissolved,"4,4'-DDE",0,7.824194682461902e-4,7.824194682461902e-4
LAGUNA BEACH,Total,"4,4'-DDE",2.3287558443604482e-4,8.889041993599511e-5,3.217660043720399e-4
LAGUNA BEACH,Dissolved,"4,4'-DDE",0,8.889041993599511e-5,8.889041993599511e-5
LAKE FOREST,Total,"4,4'-DDT",1.3694471705235316e-4,5.579059827015083e-5,1.9273531532250398e-4
MISSION VIEJO,Total,"4,4'-DDT",0.0018343573586910632,5.384210580811271e-4,0.0023727784167721904
LAKE FOREST,Dissolved,"4,4'-DDT",0,5.579059827015083e-5,5.579059827015083e-5
MISSION VIEJO,Dissolved,"4,4'-DDT",0,5.384210580811271e-4,5.384210580811271e-4
LAGUNA WOODS,Total,"4,4'-DDT",1.0789907241736988e-4,0,1.0789907241736988e-4
LAGUNA WOODS,Dissolved,"4,4'-DDT",0,0,0
RANCHO SANTA MARGARITA,Total,"4,4'-DDT",6.314661259334679e-4,0.0010110212467035033,0.0016424873726369712
RANCHO SANTA MARGARITA,Dissolved,"4,4'-DDT",0,0.0010110212467035033,0.0010110212467035033
LAGUNA NIGUEL,Total,"4,4'-DDT",8.641404420121476e-4,0.0027936370817813615,0.003657777523793509
ALISO VIEJO,Total,"4,4'-DDT",1.7227183756095816e-4,2.3692178358610555e-4,4.091936211470637e-4
LAGUNA NIGUEL,Dissolved,"4,4'-DDT",0,0.0027936370817813615,0.0027936370817813615
ALISO VIEJO,Dissolved,"4,4'-DDT",0,2.3692178358610555e-4,2.3692178358610555e-4
ORANGE CO,Total,"4,4'-DDT",0.001016579028622349,0.001175881308302551,0.0021924603369248997
ORANGE CO,Dissolved,"4,4'-DDT",0,0.001175881308302551,0.001175881308302551
LAGUNA HILLS,Total,"4,4'-DDT",5.7409346763981264e-5,3.091021181685771e-4,3.6651146493255836e-4
LAGUNA HILLS,Dissolved,"4,4'-DDT",0,3.091021181685771e-4,3.091021181685771e-4
DANA POINT,Total,"4,4'-DDT",2.74812226325689e-4,2.607570069541098e-4,5.355692332797988e-4
SAN JUAN CAPISTRANO,Total,"4,4'-DDT",2.661880482168389e-4,8.099770788824466e-4,0.0010761651270992855
DANA POINT,Dissolved,"4,4'-DDT",0,2.607570069541098e-4,2.607570069541098e-4
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDT",0,8.099770788824466e-4,8.099770788824466e-4
SAN CLEMENTE,Total,"4,4'-DDT",0.0011941831358665287,7.824194682461902e-4,0.001976602604112719
SAN CLEMENTE,Dissolved,"4,4'-DDT",0,7.824194682461902e-4,7.824194682461902e-4
LAGUNA BEACH,Total,"4,4'-DDT",2.3287558443604482e-4,8.889041993599511e-5,3.217660043720399e-4
LAGUNA BEACH,Dissolved,"4,4'-DDT",0,8.889041993599511e-5,8.889041993599511e-5
LAKE FOREST,Total,Acenaphthene,3.423617926308829e-4,1.3947649567537708e-4,4.8183828830626e-4
MISSION VIEJO,Total,Acenaphthene,0.004585893396727657,0.0013460526452028177,0.005931946041930475
LAKE FOREST,Dissolved,Acenaphthene,0,1.3947649567537708e-4,1.3947649567537708e-4
MISSION VIEJO,Dissolved,Acenaphthene,0,0.0013460526452028177,0.0013460526452028177
LAGUNA WOODS,Dissolved,Acenaphthene,0,0,0
RANCHO SANTA MARGARITA,Total,Acenaphthene,0.0015786653148336697,0.0025275531167587577,0.004106218431592428
RANCHO SANTA MARGARITA,Dissolved,Acenaphthene,0,0.0025275531167587577,0.0025275531167587577
