Station,date,Flow_cfs_md,wet_within_72
L01-340-1,2021-06-07,0.005335570469798658,FALSE
L01-340-1,2021-06-08,0.010715277777777778,FALSE
L01-340-1,2021-06-09,0.012986111111111111,FALSE
L01-340-1,2021-06-10,0.011440972222222222,FALSE
L01-340-1,2021-06-11,0.02007986111111111,FALSE
L01-340-1,2021-06-12,0.017826388888888888,FALSE
L01-340-1,2021-06-13,0.019097222222222224,FALSE
L01-340-1,2021-06-14,0.022239583333333333,FALSE
L01-340-1,2021-06-15,0.024701388888888887,FALSE
L01-340-1,2021-06-16,0.0145,FALSE
L01-340-1,2021-06-17,0.011618055555555555,FALSE
L01-340-1,2021-06-18,0.009604166666666667,FALSE
L01-340-1,2021-06-19,0.013215277777777777,FALSE
L01-340-1,2021-06-20,0.007774305555555555,FALSE
L01-340-1,2021-06-21,0.013336805555555555,FALSE
L01-340-1,2021-06-22,0.011177083333333334,FALSE
L01-340-1,2021-06-23,0.01140625,FALSE
L01-340-1,2021-06-24,0.010440972222222223,FALSE
L01-340-1,2021-06-25,0.012819444444444444,FALSE
L01-340-1,2021-06-26,0.012243055555555556,FALSE
L01-340-1,2021-06-27,0.010666666666666666,FALSE
L01-340-1,2021-06-28,0.011458333333333333,FALSE
L01-340-1,2021-06-29,0.007392361111111111,FALSE
L01-340-1,2021-06-30,0.012701388888888889,FALSE
L01-340-1,2021-07-01,0.017065972222222222,FALSE
L01-340-1,2021-07-02,0.01376388888888889,FALSE
L01-340-1,2021-07-03,0.014184027777777778,FALSE
L01-340-1,2021-07-04,0.011711805555555555,FALSE
L01-340-1,2021-07-05,0.013993055555555555,FALSE
L01-340-1,2021-07-06,0.012065972222222223,FALSE
L01-340-1,2021-07-07,0.012475694444444444,FALSE
L01-340-1,2021-07-08,0.013885416666666667,FALSE
L01-340-1,2021-07-09,0.016697916666666666,FALSE
L01-340-1,2021-07-10,0.013774305555555555,FALSE
L01-340-1,2021-07-11,0.009253472222222222,FALSE
L01-340-1,2021-07-12,0.00979513888888889,FALSE
L01-340-1,2021-07-13,0.013267361111111112,FALSE
L01-340-1,2021-07-14,0.013534722222222222,FALSE
L01-340-1,2021-07-15,0.014503472222222221,FALSE
L01-340-1,2021-07-16,0.01329513888888889,FALSE
L01-340-1,2021-07-17,0.012506944444444444,FALSE
L01-340-1,2021-07-18,0.019288194444444445,FALSE
L01-340-1,2021-07-19,0.015975694444444445,FALSE
L01-340-1,2021-07-20,0.01647222222222222,FALSE
L01-340-1,2021-07-21,0.019100694444444444,FALSE
L01-340-1,2021-07-22,0.008503472222222223,FALSE
L01-340-1,2021-07-23,0.012329861111111111,FALSE
L01-340-1,2021-07-24,0.009597222222222222,FALSE
L01-340-1,2021-07-25,0.007916666666666667,FALSE
L01-340-1,2021-07-26,0.011586805555555555,FALSE
L01-340-1,2021-07-27,0.01979513888888889,FALSE
L01-340-1,2021-07-28,0.016413194444444446,FALSE
L01-340-1,2021-07-29,0.01682986111111111,FALSE
L01-340-1,2021-07-30,0.014020833333333333,FALSE
L01-340-1,2021-07-31,0.01592361111111111,FALSE
L01-340-1,2021-08-01,0.017361111111111112,FALSE
L01-340-1,2021-08-02,0.019354166666666665,FALSE
L01-340-1,2021-08-03,0.012527777777777778,FALSE
L01-340-1,2021-08-04,0.013055555555555556,FALSE
L01-340-1,2021-08-05,0.009753472222222222,FALSE
L01-340-1,2021-08-06,0.0068125,FALSE
L01-340-1,2021-08-07,0.008784722222222222,FALSE
L01-340-1,2021-08-08,0.011215277777777777,FALSE
L01-340-1,2021-08-09,0.012243055555555556,FALSE
L01-340-1,2021-08-10,0.016625,FALSE
L01-340-1,2021-08-11,0.01942013888888889,FALSE
L01-340-1,2021-08-12,0.015947916666666666,FALSE
L01-340-1,2021-08-13,0.010041666666666667,FALSE
L01-340-1,2021-08-14,0.011496527777777777,FALSE
L01-340-1,2021-08-15,0.011690972222222222,FALSE
L01-340-1,2021-08-16,0.011510416666666667,FALSE
L01-340-1,2021-08-17,0.008923611111111111,FALSE
L01-340-1,2021-08-18,0.003795138888888889,FALSE
L01-340-1,2021-08-19,0.006381944444444444,FALSE
L01-340-1,2021-08-20,0.008722222222222221,FALSE
L01-340-1,2021-08-21,0.004861111111111111,FALSE
L01-340-1,2021-08-22,0.006520833333333333,FALSE
L01-340-1,2021-08-23,0.009361111111111112,FALSE
L01-340-1,2021-08-24,0.014947916666666667,FALSE
L01-340-1,2021-08-25,0.0213125,FALSE
L01-340-1,2021-08-26,0.023708333333333335,FALSE
L01-340-1,2021-08-27,0.02007638888888889,FALSE
L01-340-1,2021-08-28,0.012479166666666666,FALSE
L01-340-1,2021-08-29,0.015333333333333334,FALSE
L01-340-1,2021-08-30,0.0069409722222222225,FALSE
L01-340-1,2021-08-31,0.004878472222222222,FALSE
L01-340-1,2021-09-01,0.002829861111111111,FALSE
L01-340-1,2021-09-02,0.00665625,FALSE
L01-340-1,2021-09-03,0.011743055555555555,FALSE
L01-340-1,2021-09-04,0.021885416666666668,FALSE
L01-340-1,2021-09-05,0.01651736111111111,FALSE
L01-340-1,2021-09-06,0.0079097222222222225,FALSE
L01-340-1,2021-09-07,0.0075,FALSE
L01-340-1,2021-09-08,0.010086805555555555,FALSE
L01-340-1,2021-09-09,0.01370138888888889,FALSE
L01-340-1,2021-09-10,0.013302083333333334,FALSE
L01-340-1,2021-09-11,0.01637847222222222,FALSE
L01-340-1,2021-09-12,0.011989583333333333,FALSE
L01-340-1,2021-09-13,0.00778125,FALSE
L01-340-1,2021-09-14,0.005447916666666667,FALSE
L01-340-1,2021-09-15,0.004902777777777778,FALSE
L01-340-1,2021-09-16,0.00325,FALSE
L01-340-1,2021-09-17,0.00371875,FALSE
L01-340-1,2021-09-18,0.005302083333333333,FALSE
L01-340-1,2021-09-19,0.00440625,FALSE
L01-340-1,2021-09-20,0.0076145833333333334,FALSE
L01-340-1,2021-09-21,0.016038194444444445,FALSE
L01-340-1,2021-09-22,0.02140625,FALSE
L01-340-1,2021-09-23,0.008510416666666666,FALSE
L01-340-1,2021-09-24,0.07682638888888889,FALSE
L01-340-1,2021-09-25,0.005197916666666667,FALSE
L01-340-1,2021-09-26,8.125000000000001e-4,FALSE
L01-340-1,2021-09-27,8.75e-4,FALSE
L01-340-1,2021-09-28,0.0030729166666666665,FALSE
L01-340-1,2021-09-29,0.006104166666666667,FALSE
L01-340-1,2021-09-30,0.015145833333333334,FALSE
L01-340-1,2021-10-01,0,FALSE
L01-404-1,2021-06-07,0.04103351955307263,FALSE
L01-404-1,2021-06-08,0.04161458333333334,FALSE
L01-404-1,2021-06-09,0.04199652777777778,FALSE
L01-404-1,2021-06-10,0.0439375,FALSE
L01-404-1,2021-06-11,0.04394097222222222,FALSE
L01-404-1,2021-06-12,0.04678472222222222,FALSE
L01-404-1,2021-06-13,0.04485763888888889,FALSE
L01-404-1,2021-06-14,0.048993055555555554,FALSE
L01-404-1,2021-06-15,0.05621527777777778,FALSE
L01-404-1,2021-06-16,0.05708333333333333,FALSE
L01-404-1,2021-06-17,0.051631944444444446,FALSE
L01-404-1,2021-06-18,0.06030208333333333,FALSE
L01-404-1,2021-06-19,0.06250694444444445,FALSE
L01-404-1,2021-06-20,0.049819444444444444,FALSE
L01-404-1,2021-06-21,0.04517361111111111,FALSE
L01-404-1,2021-06-22,0.050034722222222223,FALSE
L01-404-1,2021-06-23,0.049840277777777775,FALSE
L01-404-1,2021-06-24,0.05051041666666667,FALSE
L01-404-1,2021-06-25,0.04231597222222222,FALSE
L01-404-1,2021-06-26,0.04848263888888889,FALSE
L01-404-1,2021-06-27,0.046197916666666665,FALSE
L01-404-1,2021-06-28,0.060871527777777774,FALSE
L01-404-1,2021-06-29,0.05419444444444444,FALSE
L01-404-1,2021-06-30,0.051805555555555556,FALSE
L01-404-1,2021-07-01,0.05273958333333333,FALSE
L01-404-1,2021-07-02,0.05589583333333333,FALSE
L01-404-1,2021-07-03,0.050729166666666665,FALSE
L01-404-1,2021-07-04,0.04820486111111111,FALSE
L01-404-1,2021-07-05,0.05128125,FALSE
L01-404-1,2021-07-06,0.0451875,FALSE
L01-404-1,2021-07-07,0.04643055555555556,FALSE
L01-404-1,2021-07-08,0.05195486111111111,FALSE
L01-404-1,2021-07-09,0.051006944444444445,FALSE
L01-404-1,2021-07-10,0.05334375,FALSE
L01-404-1,2021-07-11,0.04505208333333333,FALSE
L01-404-1,2021-07-12,0.04854861111111111,FALSE
L01-404-1,2021-07-13,0.04386458333333333,FALSE
L01-404-1,2021-07-14,0.04361458333333333,FALSE
L01-404-1,2021-07-15,0.04678472222222222,FALSE
L01-404-1,2021-07-16,0.05722569444444445,FALSE
L01-404-1,2021-07-17,0.05717361111111111,FALSE
L01-404-1,2021-07-18,0.042583333333333334,FALSE
L01-404-1,2021-07-19,0.042555555555555555,FALSE
L01-404-1,2021-07-20,0.05222916666666667,FALSE
L01-404-1,2021-07-21,0.046197916666666665,FALSE
L01-404-1,2021-07-22,0.05134375,FALSE
L01-404-1,2021-07-23,0.04805555555555555,FALSE
L01-404-1,2021-07-24,0.05045486111111111,FALSE
L01-404-1,2021-07-25,0.048489583333333336,FALSE
L01-404-1,2021-07-26,0.08914583333333333,FALSE
L01-404-1,2021-07-27,0.05811111111111111,FALSE
L01-404-1,2021-07-28,0.04995486111111111,FALSE
L01-404-1,2021-07-29,0.04252430555555556,FALSE
L01-404-1,2021-07-30,0.045625,FALSE
L01-404-1,2021-07-31,0.04275,FALSE
L01-404-1,2021-08-01,0.03836111111111111,FALSE
L01-404-1,2021-08-02,0.019385416666666665,FALSE
L01-404-1,2021-08-03,0.014642361111111111,FALSE
L01-404-1,2021-08-04,0.01826388888888889,FALSE
L01-404-1,2021-08-05,0.015159722222222222,FALSE
L01-404-1,2021-08-06,0.017395833333333333,FALSE
L01-404-1,2021-08-07,0.01529513888888889,FALSE
L01-404-1,2021-08-08,0.016309027777777776,FALSE
L01-404-1,2021-08-09,0.01434375,FALSE
L01-404-1,2021-08-10,0.015760416666666666,FALSE
L01-404-1,2021-08-11,0.01855902777777778,FALSE
L01-404-1,2021-08-12,0.013409722222222222,FALSE
L01-404-1,2021-08-13,0.009024305555555556,FALSE
L01-404-1,2021-08-14,0.017385416666666667,FALSE
L01-404-1,2021-08-15,0.017295138888888888,FALSE
L01-404-1,2021-08-16,0.020243055555555556,FALSE
L01-404-1,2021-08-17,0.022361111111111113,FALSE
L01-404-1,2021-08-18,0.01860763888888889,FALSE
L01-404-1,2021-08-19,0.022850694444444444,FALSE
L01-404-1,2021-08-20,0.016131944444444445,FALSE
L01-404-1,2021-08-21,0.01942361111111111,FALSE
L01-404-1,2021-08-22,0.01584722222222222,FALSE
L01-404-1,2021-08-23,0.017760416666666667,FALSE
L01-404-1,2021-08-24,0.01662847222222222,FALSE
L01-404-1,2021-08-25,0.01623958333333333,FALSE
L01-404-1,2021-08-26,0.016836805555555556,FALSE
L01-404-1,2021-08-27,0.013802083333333333,FALSE
L01-404-1,2021-08-28,0.025260416666666667,FALSE
L01-404-1,2021-08-29,0.025145833333333333,FALSE
L01-404-1,2021-08-30,0.01896875,FALSE
L01-404-1,2021-08-31,0.019791666666666666,FALSE
L01-404-1,2021-09-01,0.01849652777777778,FALSE
L01-404-1,2021-09-02,0.01921527777777778,FALSE
L01-404-1,2021-09-03,0.018770833333333334,FALSE
L01-404-1,2021-09-04,0.016166666666666666,FALSE
L01-404-1,2021-09-05,0.012274305555555556,FALSE
L01-404-1,2021-09-06,0.01967013888888889,FALSE
L01-404-1,2021-09-07,0.018236111111111113,FALSE
L01-404-1,2021-09-08,0.017833333333333333,FALSE
L01-404-1,2021-09-09,0.022444444444444444,FALSE
L01-404-1,2021-09-10,0.018993055555555555,FALSE
L01-404-1,2021-09-11,0.02009722222222222,FALSE
L01-404-1,2021-09-12,0.01603472222222222,FALSE
L01-404-1,2021-09-13,0.016961805555555556,FALSE
L01-404-1,2021-09-14,0.01973611111111111,FALSE
L01-404-1,2021-09-15,0.017631944444444443,FALSE
L01-404-1,2021-09-16,0.015003472222222222,FALSE
L01-404-1,2021-09-17,0.014569444444444444,FALSE
L01-404-1,2021-09-18,0.016149305555555556,FALSE
L01-404-1,2021-09-19,0.011916666666666667,FALSE
L01-404-1,2021-09-20,0.013979166666666668,FALSE
L01-404-1,2021-09-21,0.018131944444444444,FALSE
L01-404-1,2021-09-22,0.015597222222222222,FALSE
L01-404-1,2021-09-23,0.01303125,FALSE
L01-404-1,2021-09-24,0.02896875,FALSE
L01-404-1,2021-09-25,0.022083333333333333,FALSE
