Datetime,Flow_cfs
2016-08-03 10:59:00,0.0
2016-08-03 11:05:00,0.0
2016-08-03 11:09:00,0.026
2016-08-03 11:15:00,0.01
2016-08-03 11:19:00,0.028
2016-08-03 11:25:00,0.024
2016-08-03 11:29:00,0.042
2016-08-03 11:35:00,0.05
2016-08-03 11:39:00,0.036
2016-08-03 11:45:00,0.044
2016-08-03 11:49:00,0.044
2016-08-03 11:55:00,0.049
2016-08-03 12:00:00,0.064
2016-08-03 12:04:00,0.041
2016-08-03 12:10:00,0.064
2016-08-03 12:14:00,0.055
2016-08-03 12:20:00,0.026
2016-08-03 12:24:00,0.017
2016-08-03 12:30:00,0.035
2016-08-03 12:34:00,0.04
2016-08-03 12:40:00,0.042
2016-08-03 12:44:00,0.013
2016-08-03 12:50:00,0.012
2016-08-03 12:54:00,0.022
2016-08-03 13:00:00,0.042
2016-08-03 13:04:00,0.02
2016-08-03 13:10:00,0.02
2016-08-03 13:14:00,0.019
2016-08-03 13:20:00,0.012
2016-08-03 13:24:00,0.011
2016-08-03 13:30:00,0.018
2016-08-03 13:35:00,0.025
2016-08-03 13:39:00,0.034
2016-08-03 13:45:00,0.038
2016-08-03 13:49:00,0.01
2016-08-03 13:55:00,0.028
2016-08-03 13:59:00,0.034
2016-08-03 14:05:00,0.038
2016-08-03 14:09:00,0.021
2016-08-03 14:15:00,0.019
2016-08-03 14:19:00,0.015
2016-08-03 14:25:00,0.025
2016-08-03 14:29:00,0.018
2016-08-03 14:35:00,0.034
2016-08-03 14:39:00,0.039
2016-08-03 14:45:00,0.027
2016-08-03 14:49:00,0.018
2016-08-03 14:55:00,0.019
2016-08-03 15:00:00,0.018
2016-08-03 15:04:00,0.017
2016-08-03 15:10:00,0.03
2016-08-03 15:14:00,0.021
2016-08-03 15:20:00,0.026
2016-08-03 15:24:00,0.017
2016-08-03 15:30:00,0.023
2016-08-03 15:34:00,0.017
2016-08-03 15:40:00,0.02
2016-08-03 15:44:00,0.017
2016-08-03 15:50:00,0.014
2016-08-03 15:54:00,0.021
2016-08-03 16:00:00,0.013
2016-08-03 16:04:00,0.013
2016-08-03 16:10:00,0.012
2016-08-03 16:14:00,0.015
2016-08-03 16:20:00,0.012
2016-08-03 16:24:00,0.016
2016-08-03 16:30:00,0.013
2016-08-03 16:35:00,0.016
2016-08-03 16:39:00,0.014
2016-08-03 16:45:00,0.019
2016-08-03 16:49:00,0.013
2016-08-03 16:55:00,0.014
2016-08-03 16:59:00,0.012
2016-08-03 17:05:00,0.017
2016-08-03 17:09:00,0.014
2016-08-03 17:15:00,0.013
2016-08-03 17:19:00,0.009
2016-08-03 17:25:00,0.009
2016-08-03 17:29:00,0.01
2016-08-03 17:35:00,0.01
2016-08-03 17:39:00,0.012
2016-08-03 17:45:00,0.011
2016-08-03 17:49:00,0.008
2016-08-03 17:55:00,0.009
2016-08-03 18:00:00,0.006
2016-08-03 18:04:00,0.006
2016-08-03 18:10:00,0.008
2016-08-03 18:14:00,0.007
2016-08-03 18:20:00,0.005
2016-08-03 18:24:00,0.005
2016-08-03 18:30:00,0.006
2016-08-03 18:34:00,0.007
2016-08-03 18:40:00,0.005
2016-08-03 18:44:00,0.005
2016-08-03 18:50:00,0.005
2016-08-03 18:54:00,0.005
2016-08-03 19:00:00,0.005
2016-08-03 19:04:00,0.008
2016-08-03 19:10:00,0.008
2016-08-03 19:14:00,0.008
2016-08-03 19:20:00,0.007
2016-08-03 19:24:00,0.012
2016-08-03 19:30:00,0.02
2016-08-03 19:35:00,0.016
2016-08-03 19:39:00,0.015
2016-08-03 19:45:00,0.007
2016-08-03 19:49:00,0.005
2016-08-03 19:55:00,0.006
2016-08-03 19:59:00,0.006
2016-08-03 20:05:00,0.006
2016-08-03 20:09:00,0.009
2016-08-03 20:15:00,0.013
2016-08-03 20:19:00,0.01
2016-08-03 20:25:00,0.011
2016-08-03 20:29:00,0.008
2016-08-03 20:35:00,0.008
2016-08-03 20:39:00,0.004
2016-08-03 20:45:00,0.003
2016-08-03 20:49:00,0.002
2016-08-03 20:55:00,0.003
2016-08-03 21:00:00,0.002
2016-08-03 21:04:00,0.002
2016-08-03 21:10:00,0.002
2016-08-03 21:14:00,0.007
2016-08-03 21:20:00,0.011
2016-08-03 21:24:00,0.008
2016-08-03 21:30:00,0.007
2016-08-03 21:34:00,0.006
2016-08-03 21:40:00,0.002
2016-08-03 21:44:00,0.002
2016-08-03 21:50:00,0.005
2016-08-03 21:54:00,0.003
2016-08-03 22:00:00,0.002
2016-08-03 22:04:00,0.001
2016-08-03 22:10:00,0.0
2016-08-03 22:14:00,0.002
2016-08-03 22:20:00,0.018
2016-08-03 22:24:00,0.005
2016-08-03 22:30:00,0.004
2016-08-03 22:35:00,0.003
2016-08-03 22:39:00,0.002
2016-08-03 22:45:00,0.001
2016-08-03 22:49:00,0.001
2016-08-03 22:55:00,0.001
2016-08-03 22:59:00,0.0
2016-08-03 23:05:00,0.002
2016-08-03 23:09:00,0.003
2016-08-03 23:15:00,0.006
2016-08-03 23:19:00,0.008
2016-08-03 23:25:00,0.008
2016-08-03 23:29:00,0.006
2016-08-03 23:35:00,0.01
2016-08-03 23:39:00,0.011
2016-08-03 23:45:00,0.006
2016-08-03 23:49:00,0.005
2016-08-03 23:55:00,0.006
2016-08-04 00:00:00,0.003
2016-08-04 00:04:00,0.004
2016-08-04 00:10:00,0.005
2016-08-04 00:14:00,0.006
2016-08-04 00:20:00,0.011
2016-08-04 00:24:00,0.011
2016-08-04 00:30:00,0.03
2016-08-04 00:34:00,0.031
2016-08-04 00:40:00,0.023
2016-08-04 00:44:00,0.013
2016-08-04 00:50:00,0.014
2016-08-04 00:54:00,0.012
2016-08-04 01:00:00,0.01
2016-08-04 01:04:00,0.009
2016-08-04 01:10:00,0.009
2016-08-04 01:14:00,0.01
2016-08-04 01:20:00,0.008
2016-08-04 01:24:00,0.01
2016-08-04 01:30:00,0.009
2016-08-04 01:35:00,0.008
2016-08-04 01:39:00,0.009
2016-08-04 01:45:00,0.008
2016-08-04 01:49:00,0.009
2016-08-04 01:55:00,0.009
2016-08-04 01:59:00,0.009
2016-08-04 02:05:00,0.007
2016-08-04 02:09:00,0.006
2016-08-04 02:15:00,0.004
2016-08-04 02:19:00,0.008
2016-08-04 02:25:00,0.005
2016-08-04 02:29:00,0.005
2016-08-04 02:35:00,0.007
2016-08-04 02:39:00,0.009
2016-08-04 02:45:00,0.006
2016-08-04 02:49:00,0.01
2016-08-04 02:55:00,0.008
2016-08-04 03:00:00,0.009
2016-08-04 03:04:00,0.009
2016-08-04 03:10:00,0.008
2016-08-04 03:14:00,0.007
2016-08-04 03:20:00,0.009
2016-08-04 03:24:00,0.01
2016-08-04 03:30:00,0.01
2016-08-04 03:34:00,0.011
2016-08-04 03:40:00,0.011
2016-08-04 03:44:00,0.009
2016-08-04 03:50:00,0.012
2016-08-04 03:54:00,0.011
2016-08-04 04:00:00,0.012
2016-08-04 04:04:00,0.012
2016-08-04 04:10:00,0.01
2016-08-04 04:14:00,0.009
2016-08-04 04:20:00,0.009
2016-08-04 04:24:00,0.009
2016-08-04 04:30:00,0.01
2016-08-04 04:35:00,0.01
2016-08-04 04:39:00,0.01
2016-08-04 04:45:00,0.009
2016-08-04 04:49:00,0.009
2016-08-04 04:55:00,0.009
2016-08-04 04:59:00,0.011
2016-08-04 05:05:00,0.011
2016-08-04 05:09:00,0.011
2016-08-04 05:15:00,0.01
2016-08-04 05:19:00,0.013
2016-08-04 05:25:00,0.015
2016-08-04 05:29:00,0.016
2016-08-04 05:35:00,0.016
2016-08-04 05:39:00,0.014
2016-08-04 05:45:00,0.015
2016-08-04 05:49:00,0.018
2016-08-04 05:55:00,0.021
2016-08-04 06:00:00,0.019
2016-08-04 06:04:00,0.018
2016-08-04 06:10:00,0.018
2016-08-04 06:14:00,0.018
2016-08-04 06:20:00,0.017
2016-08-04 06:24:00,0.015
2016-08-04 06:30:00,0.016
2016-08-04 06:34:00,0.018
2016-08-04 06:40:00,0.018
2016-08-04 06:44:00,0.017
2016-08-04 06:50:00,0.014
2016-08-04 06:54:00,0.014
2016-08-04 07:00:00,0.016
2016-08-04 07:04:00,0.02
2016-08-04 07:10:00,0.02
2016-08-04 07:14:00,0.015
2016-08-04 07:20:00,0.017
2016-08-04 07:24:00,0.019
2016-08-04 07:30:00,0.021
2016-08-04 07:35:00,0.014
2016-08-04 07:39:00,0.02
2016-08-04 07:45:00,0.023
2016-08-04 07:49:00,0.012
2016-08-04 07:55:00,0.024
2016-08-04 07:59:00,0.022
2016-08-04 08:05:00,0.02
2016-08-04 08:09:00,0.033
2016-08-04 08:15:00,0.049
2016-08-04 08:19:00,0.039
2016-08-04 08:25:00,0.034
2016-08-04 08:29:00,0.026
2016-08-04 08:35:00,0.025
2016-08-04 08:39:00,0.041
2016-08-04 08:45:00,0.044
2016-08-04 08:49:00,0.028
2016-08-04 08:55:00,0.024
2016-08-04 09:00:00,0.01
2016-08-04 09:04:00,0.027
2016-08-04 09:10:00,0.03
2016-08-04 09:14:00,0.031
2016-08-04 09:20:00,0.018
2016-08-04 09:24:00,0.047
2016-08-04 09:30:00,0.042
2016-08-04 09:34:00,0.023
2016-08-04 09:40:00,0.062
2016-08-04 09:44:00,0.026
2016-08-04 09:50:00,0.03
2016-08-04 09:54:00,0.006
2016-08-04 10:00:00,0.014
2016-08-04 10:04:00,0.041
2016-08-04 10:10:00,0.026
2016-08-04 10:14:00,0.033
2016-08-04 10:20:00,0.042
2016-08-04 10:24:00,0.051
2016-08-04 10:30:00,0.041
2016-08-04 10:35:00,0.033
2016-08-04 10:39:00,0.02
2016-08-04 10:45:00,0.03
2016-08-04 10:49:00,0.013
2016-08-04 10:55:00,0.033
2016-08-04 10:59:00,0.015
2016-08-04 11:05:00,0.021
2016-08-04 11:09:00,0.008
2016-08-04 11:15:00,0.027
2016-08-04 11:19:00,0.02
2016-08-04 11:25:00,0.02
2016-08-04 11:29:00,0.032
2016-08-04 11:35:00,0.033
2016-08-04 11:39:00,0.014
2016-08-04 11:45:00,0.039
2016-08-04 11:49:00,0.03
2016-08-04 11:55:00,0.015
2016-08-04 12:00:00,0.006
2016-08-04 12:04:00,0.015
2016-08-04 12:10:00,0.024
2016-08-04 12:14:00,0.03
2016-08-04 12:20:00,0.032
2016-08-04 12:24:00,0.036
2016-08-04 12:30:00,0.006
2016-08-04 12:34:00,0.026
2016-08-04 12:40:00,0.007
2016-08-04 12:44:00,0.025
2016-08-04 12:50:00,0.026
2016-08-04 12:54:00,0.025
2016-08-04 13:00:00,0.002
2016-08-04 13:04:00,0.017
2016-08-04 13:10:00,0.008
2016-08-04 13:14:00,0.015
2016-08-04 13:20:00,0.037
2016-08-04 13:24:00,0.008
2016-08-04 13:30:00,0.016
2016-08-04 13:35:00,0.013
2016-08-04 13:39:00,0.02
2016-08-04 13:45:00,0.02
2016-08-04 13:49:00,0.02
2016-08-04 13:55:00,0.021
2016-08-04 13:59:00,0.027
2016-08-04 14:05:00,0.016
2016-08-04 14:09:00,0.021
2016-08-04 14:15:00,0.014
2016-08-04 14:19:00,0.021
2016-08-04 14:25:00,0.023
2016-08-04 14:29:00,0.026
2016-08-04 14:35:00,0.021
2016-08-04 14:39:00,0.026
2016-08-04 14:45:00,0.039
2016-08-04 14:49:00,0.007
2016-08-04 14:55:00,0.021
2016-08-04 15:00:00,0.021
2016-08-04 15:04:00,0.032
2016-08-04 15:10:00,0.01
2016-08-04 15:14:00,0.025
2016-08-04 15:20:00,0.026
2016-08-04 15:24:00,0.023
2016-08-04 15:30:00,0.031
2016-08-04 15:34:00,0.021
2016-08-04 15:40:00,0.027
2016-08-04 15:44:00,0.018
2016-08-04 15:50:00,0.023
2016-08-04 15:54:00,0.021
2016-08-04 16:00:00,0.018
2016-08-04 16:04:00,0.015
2016-08-04 16:10:00,0.017
2016-08-04 16:14:00,0.019
2016-08-04 16:20:00,0.024
2016-08-04 16:24:00,0.02
2016-08-04 16:30:00,0.02
2016-08-04 16:35:00,0.017
2016-08-04 16:39:00,0.02
2016-08-04 16:45:00,0.018
2016-08-04 16:49:00,0.011
2016-08-04 16:55:00,0.01
2016-08-04 16:59:00,0.01
2016-08-04 17:05:00,0.022
2016-08-04 17:09:00,0.016
2016-08-04 17:15:00,0.012
2016-08-04 17:19:00,0.013
2016-08-04 17:25:00,0.019
2016-08-04 17:29:00,0.016
2016-08-04 17:35:00,0.014
2016-08-04 17:39:00,0.015
2016-08-04 17:45:00,0.013
2016-08-04 17:49:00,0.009
2016-08-04 17:55:00,0.009
2016-08-04 18:00:00,0.011
2016-08-04 18:04:00,0.01
2016-08-04 18:10:00,0.009
2016-08-04 18:14:00,0.012
2016-08-04 18:20:00,0.011
2016-08-04 18:24:00,0.01
2016-08-04 18:30:00,0.01
2016-08-04 18:34:00,0.011
2016-08-04 18:40:00,0.01
2016-08-04 18:44:00,0.009
2016-08-04 18:50:00,0.012
2016-08-04 18:54:00,0.008
2016-08-04 19:00:00,0.008
2016-08-04 19:04:00,0.009
2016-08-04 19:10:00,0.006
2016-08-04 19:14:00,0.005
2016-08-04 19:20:00,0.003
2016-08-04 19:24:00,0.007
2016-08-04 19:30:00,0.005
2016-08-04 19:35:00,0.004
2016-08-04 19:39:00,0.001
2016-08-04 19:45:00,0.003
2016-08-04 19:49:00,0.004
2016-08-04 19:55:00,0.011
2016-08-04 19:59:00,0.014
2016-08-04 20:05:00,0.013
2016-08-04 20:09:00,0.014
2016-08-04 20:15:00,0.015
2016-08-04 20:19:00,0.005
2016-08-04 20:25:00,0.005
2016-08-04 20:29:00,0.004
2016-08-04 20:35:00,0.005
2016-08-04 20:39:00,0.002
2016-08-04 20:45:00,0.005
2016-08-04 20:49:00,0.007
2016-08-04 20:55:00,0.007
2016-08-04 21:00:00,0.009
2016-08-04 21:04:00,0.007
2016-08-04 21:10:00,0.007
2016-08-04 21:14:00,0.008
2016-08-04 21:20:00,0.006
2016-08-04 21:24:00,0.009
2016-08-04 21:30:00,0.011
2016-08-04 21:34:00,0.014
2016-08-04 21:40:00,0.014
2016-08-04 21:44:00,0.009
2016-08-04 21:50:00,0.007
2016-08-04 21:54:00,0.007
2016-08-04 22:00:00,0.007
2016-08-04 22:04:00,0.007
2016-08-04 22:10:00,0.006
2016-08-04 22:14:00,0.006
2016-08-04 22:20:00,0.008
2016-08-04 22:24:00,0.007
2016-08-04 22:30:00,0.008
2016-08-04 22:35:00,0.008
2016-08-04 22:39:00,0.006
2016-08-04 22:45:00,0.007
2016-08-04 22:49:00,0.007
2016-08-04 22:55:00,0.007
2016-08-04 22:59:00,0.007
2016-08-04 23:05:00,0.007
2016-08-04 23:09:00,0.008
2016-08-04 23:15:00,0.008
2016-08-04 23:19:00,0.008
2016-08-04 23:25:00,0.008
2016-08-04 23:29:00,0.009
2016-08-04 23:35:00,0.01
2016-08-04 23:39:00,0.009
2016-08-04 23:45:00,0.009
2016-08-04 23:49:00,0.01
2016-08-04 23:55:00,0.01
2016-08-05 00:00:00,0.01
2016-08-05 00:04:00,0.012
2016-08-05 00:10:00,0.011
2016-08-05 00:14:00,0.012
2016-08-05 00:20:00,0.01
2016-08-05 00:24:00,0.009
2016-08-05 00:30:00,0.012
2016-08-05 00:34:00,0.009
2016-08-05 00:40:00,0.006
2016-08-05 00:44:00,0.008
2016-08-05 00:50:00,0.006
2016-08-05 00:54:00,0.005
2016-08-05 01:00:00,0.006
2016-08-05 01:04:00,0.007
2016-08-05 01:10:00,0.008
2016-08-05 01:14:00,0.008
2016-08-05 01:20:00,0.006
2016-08-05 01:24:00,0.007
2016-08-05 01:30:00,0.006
2016-08-05 01:35:00,0.005
2016-08-05 01:39:00,0.008
2016-08-05 01:45:00,0.007
2016-08-05 01:49:00,0.006
2016-08-05 01:55:00,0.007
2016-08-05 01:59:00,0.007
2016-08-05 02:05:00,0.007
2016-08-05 02:09:00,0.007
2016-08-05 02:15:00,0.007
2016-08-05 02:19:00,0.008
2016-08-05 02:25:00,0.007
2016-08-05 02:29:00,0.008
2016-08-05 02:35:00,0.008
2016-08-05 02:39:00,0.007
2016-08-05 02:45:00,0.007
2016-08-05 02:49:00,0.005
2016-08-05 02:55:00,0.006
2016-08-05 03:00:00,0.006
2016-08-05 03:04:00,0.006
2016-08-05 03:10:00,0.007
2016-08-05 03:14:00,0.007
2016-08-05 03:20:00,0.007
2016-08-05 03:24:00,0.008
2016-08-05 03:30:00,0.007
2016-08-05 03:34:00,0.006
2016-08-05 03:40:00,0.007
2016-08-05 03:44:00,0.008
2016-08-05 03:50:00,0.008
2016-08-05 03:54:00,0.009
2016-08-05 04:00:00,0.011
2016-08-05 04:04:00,0.01
2016-08-05 04:10:00,0.008
2016-08-05 04:14:00,0.01
2016-08-05 04:20:00,0.009
2016-08-05 04:24:00,0.009
2016-08-05 04:30:00,0.01
2016-08-05 04:35:00,0.008
2016-08-05 04:39:00,0.01
2016-08-05 04:45:00,0.008
2016-08-05 04:49:00,0.008
2016-08-05 04:55:00,0.01
2016-08-05 04:59:00,0.009
2016-08-05 05:05:00,0.009
2016-08-05 05:09:00,0.008
2016-08-05 05:15:00,0.008
2016-08-05 05:19:00,0.009
2016-08-05 05:25:00,0.011
2016-08-05 05:29:00,0.012
2016-08-05 05:35:00,0.015
2016-08-05 05:39:00,0.014
2016-08-05 05:45:00,0.013
2016-08-05 05:49:00,0.014
2016-08-05 05:55:00,0.013
2016-08-05 06:00:00,0.014
2016-08-05 06:04:00,0.012
2016-08-05 06:10:00,0.016
2016-08-05 06:14:00,0.011
2016-08-05 06:20:00,0.01
2016-08-05 06:24:00,0.01
2016-08-05 06:30:00,0.013
2016-08-05 06:34:00,0.011
2016-08-05 06:40:00,0.011
2016-08-05 06:44:00,0.011
2016-08-05 06:50:00,0.009
2016-08-05 06:54:00,0.01
2016-08-05 07:00:00,0.01
2016-08-05 07:04:00,0.009
2016-08-05 07:10:00,0.011
2016-08-05 07:14:00,0.013
2016-08-05 07:20:00,0.012
2016-08-05 07:24:00,0.012
2016-08-05 07:30:00,0.015
2016-08-05 07:35:00,0.015
2016-08-05 07:39:00,0.016
2016-08-05 07:45:00,0.012
2016-08-05 07:49:00,0.014
2016-08-05 07:55:00,0.008
2016-08-05 07:59:00,0.013
2016-08-05 08:05:00,0.019
2016-08-05 08:09:00,0.016
2016-08-05 08:15:00,0.016
2016-08-05 08:19:00,0.014
2016-08-05 08:25:00,0.009
2016-08-05 08:29:00,0.016
2016-08-05 08:35:00,0.018
2016-08-05 08:39:00,0.019
2016-08-05 08:45:00,0.016
2016-08-05 08:49:00,0.021
2016-08-05 08:55:00,0.018
2016-08-05 09:00:00,0.014
2016-08-05 09:04:00,0.02
2016-08-05 09:10:00,0.016
2016-08-05 09:14:00,0.022
2016-08-05 09:20:00,0.018
2016-08-05 09:24:00,0.017
2016-08-05 09:30:00,0.026
2016-08-05 09:34:00,0.014
2016-08-05 09:40:00,0.02
2016-08-05 09:44:00,0.021
2016-08-05 09:50:00,0.012
2016-08-05 09:54:00,0.028
2016-08-05 10:00:00,0.014
2016-08-05 10:04:00,0.017
2016-08-05 10:10:00,0.024
2016-08-05 10:14:00,0.027
2016-08-05 10:20:00,0.017
2016-08-05 10:24:00,0.016
2016-08-05 10:30:00,0.028
2016-08-05 10:35:00,0.046
2016-08-05 10:39:00,0.018
2016-08-05 10:45:00,0.024
2016-08-05 10:49:00,0.06
2016-08-05 10:55:00,0.032
2016-08-05 10:59:00,0.015
2016-08-05 11:05:00,0.022
2016-08-05 11:09:00,0.029
2016-08-05 11:15:00,0.037
2016-08-05 11:19:00,0.023
2016-08-05 11:25:00,0.043
2016-08-05 11:29:00,0.021
2016-08-05 11:35:00,0.009
2016-08-05 11:39:00,0.026
2016-08-05 11:45:00,0.046
2016-08-05 11:49:00,0.026
2016-08-05 11:55:00,0.017
2016-08-05 12:00:00,0.01
2016-08-05 12:04:00,0.017
2016-08-05 12:10:00,0.017
2016-08-05 12:14:00,0.021
2016-08-05 12:20:00,0.016
2016-08-05 12:24:00,0.026
2016-08-05 12:30:00,0.017
2016-08-05 12:34:00,0.025
2016-08-05 12:40:00,0.027
2016-08-05 12:44:00,0.022
2016-08-05 12:50:00,0.014
2016-08-05 12:54:00,0.018
2016-08-05 13:00:00,0.018
2016-08-05 13:04:00,0.021
2016-08-05 13:10:00,0.017
2016-08-05 13:14:00,0.019
2016-08-05 13:20:00,0.008
2016-08-05 13:24:00,0.019
2016-08-05 13:30:00,0.018
2016-08-05 13:35:00,0.03
2016-08-05 13:39:00,0.02
2016-08-05 13:45:00,0.022
2016-08-05 13:49:00,0.024
2016-08-05 13:55:00,0.028
2016-08-05 13:59:00,0.031
2016-08-05 14:05:00,0.026
2016-08-05 14:09:00,0.014
2016-08-05 14:15:00,0.019
2016-08-05 14:19:00,0.017
2016-08-05 14:25:00,0.016
2016-08-05 14:29:00,0.029
2016-08-05 14:35:00,0.039
2016-08-05 14:39:00,0.022
2016-08-05 14:45:00,0.018
2016-08-05 14:49:00,0.018
2016-08-05 14:55:00,0.021
2016-08-05 15:00:00,0.022
2016-08-05 15:04:00,0.023
2016-08-05 15:10:00,0.025
2016-08-05 15:14:00,0.021
2016-08-05 15:20:00,0.021
2016-08-05 15:24:00,0.026
2016-08-05 15:30:00,0.03
2016-08-05 15:34:00,0.02
2016-08-05 15:40:00,0.025
2016-08-05 15:44:00,0.018
2016-08-05 15:50:00,0.02
2016-08-05 15:54:00,0.021
2016-08-05 16:00:00,0.021
2016-08-05 16:04:00,0.017
2016-08-05 16:10:00,0.018
2016-08-05 16:14:00,0.011
2016-08-05 16:20:00,0.016
2016-08-05 16:24:00,0.016
2016-08-05 16:30:00,0.017
2016-08-05 16:35:00,0.011
2016-08-05 16:39:00,0.014
2016-08-05 16:45:00,0.008
2016-08-05 16:49:00,0.005
2016-08-05 16:55:00,0.015
2016-08-05 16:59:00,0.005
2016-08-05 17:05:00,0.012
2016-08-05 17:09:00,0.01
2016-08-05 17:15:00,0.014
2016-08-05 17:19:00,0.013
2016-08-05 17:25:00,0.014
2016-08-05 17:29:00,0.012
2016-08-05 17:35:00,0.01
2016-08-05 17:39:00,0.013
2016-08-05 17:45:00,0.013
2016-08-05 17:49:00,0.014
2016-08-05 17:55:00,0.014
2016-08-05 18:00:00,0.015
2016-08-05 18:04:00,0.014
2016-08-05 18:10:00,0.012
2016-08-05 18:14:00,0.011
2016-08-05 18:20:00,0.005
2016-08-05 18:24:00,0.007
2016-08-05 18:30:00,0.009
2016-08-05 18:34:00,0.008
2016-08-05 18:40:00,0.012
2016-08-05 18:44:00,0.008
2016-08-05 18:50:00,0.007
2016-08-05 18:54:00,0.003
2016-08-05 19:00:00,0.003
2016-08-05 19:04:00,0.003
2016-08-05 19:10:00,0.005
2016-08-05 19:14:00,0.005
2016-08-05 19:20:00,0.003
2016-08-05 19:24:00,0.003
2016-08-05 19:30:00,0.002
2016-08-05 19:35:00,0.003
2016-08-05 19:39:00,0.003
2016-08-05 19:45:00,0.003
2016-08-05 19:49:00,0.001
2016-08-05 19:55:00,0.002
2016-08-05 19:59:00,0.01
2016-08-05 20:05:00,0.016
2016-08-05 20:09:00,0.013
2016-08-05 20:15:00,0.009
2016-08-05 20:19:00,0.008
2016-08-05 20:25:00,0.014
2016-08-05 20:29:00,0.005
2016-08-05 20:35:00,0.003
2016-08-05 20:39:00,0.003
2016-08-05 20:45:00,0.003
2016-08-05 20:49:00,0.008
2016-08-05 20:55:00,0.008
2016-08-05 21:00:00,0.007
2016-08-05 21:04:00,0.007
2016-08-05 21:10:00,0.004
2016-08-05 21:14:00,0.009
2016-08-05 21:20:00,0.013
2016-08-05 21:24:00,0.01
2016-08-05 21:30:00,0.008
2016-08-05 21:34:00,0.005
2016-08-05 21:40:00,0.004
2016-08-05 21:44:00,0.004
2016-08-05 21:50:00,0.003
2016-08-05 21:54:00,0.003
2016-08-05 22:00:00,0.002
2016-08-05 22:04:00,0.006
2016-08-05 22:10:00,0.011
2016-08-05 22:14:00,0.01
2016-08-05 22:20:00,0.007
2016-08-05 22:24:00,0.005
2016-08-05 22:30:00,0.005
2016-08-05 22:35:00,0.004
2016-08-05 22:39:00,0.003
2016-08-05 22:45:00,0.005
2016-08-05 22:49:00,0.004
2016-08-05 22:55:00,0.003
2016-08-05 22:59:00,0.007
2016-08-05 23:05:00,0.007
2016-08-05 23:09:00,0.009
2016-08-05 23:15:00,0.008
2016-08-05 23:19:00,0.008
2016-08-05 23:25:00,0.007
2016-08-05 23:29:00,0.006
2016-08-05 23:35:00,0.007
2016-08-05 23:39:00,0.007
2016-08-05 23:45:00,0.007
2016-08-05 23:49:00,0.006
2016-08-05 23:55:00,0.007
2016-08-06 00:00:00,0.01
2016-08-06 00:04:00,0.006
2016-08-06 00:10:00,0.005
2016-08-06 00:14:00,0.008
2016-08-06 00:20:00,0.004
2016-08-06 00:24:00,0.002
2016-08-06 00:30:00,0.007
2016-08-06 00:34:00,0.008
2016-08-06 00:40:00,0.01
2016-08-06 00:44:00,0.009
2016-08-06 00:50:00,0.009
2016-08-06 00:54:00,0.009
2016-08-06 01:00:00,0.007
2016-08-06 01:04:00,0.012
2016-08-06 01:10:00,0.01
2016-08-06 01:14:00,0.01
2016-08-06 01:20:00,0.01
2016-08-06 01:24:00,0.009
2016-08-06 01:30:00,0.009
2016-08-06 01:35:00,0.011
2016-08-06 01:39:00,0.01
2016-08-06 01:45:00,0.011
2016-08-06 01:49:00,0.01
2016-08-06 01:55:00,0.012
2016-08-06 01:59:00,0.009
2016-08-06 02:05:00,0.012
2016-08-06 02:09:00,0.012
2016-08-06 02:15:00,0.008
2016-08-06 02:19:00,0.008
2016-08-06 02:25:00,0.01
2016-08-06 02:29:00,0.008
2016-08-06 02:35:00,0.011
2016-08-06 02:39:00,0.01
2016-08-06 02:45:00,0.017
2016-08-06 02:49:00,0.015
2016-08-06 02:55:00,0.023
2016-08-06 03:00:00,0.013
2016-08-06 03:04:00,0.014
2016-08-06 03:10:00,0.015
2016-08-06 03:14:00,0.012
2016-08-06 03:20:00,0.011
2016-08-06 03:24:00,0.014
2016-08-06 03:30:00,0.013
2016-08-06 03:34:00,0.008
2016-08-06 03:40:00,0.008
2016-08-06 03:44:00,0.011
2016-08-06 03:50:00,0.008
2016-08-06 03:54:00,0.01
2016-08-06 04:00:00,0.012
2016-08-06 04:04:00,0.012
2016-08-06 04:10:00,0.009
2016-08-06 04:14:00,0.009
2016-08-06 04:20:00,0.008
2016-08-06 04:24:00,0.006
2016-08-06 04:30:00,0.011
2016-08-06 04:35:00,0.009
2016-08-06 04:39:00,0.01
2016-08-06 04:45:00,0.009
2016-08-06 04:49:00,0.011
2016-08-06 04:55:00,0.013
2016-08-06 04:59:00,0.01
2016-08-06 05:05:00,0.008
2016-08-06 05:09:00,0.01
2016-08-06 05:15:00,0.011
2016-08-06 05:19:00,0.01
2016-08-06 05:25:00,0.011
2016-08-06 05:29:00,0.011
2016-08-06 05:35:00,0.013
2016-08-06 05:39:00,0.013
2016-08-06 05:45:00,0.012
2016-08-06 05:49:00,0.012
2016-08-06 05:55:00,0.015
2016-08-06 06:00:00,0.013
2016-08-06 06:04:00,0.014
2016-08-06 06:10:00,0.014
2016-08-06 06:14:00,0.015
2016-08-06 06:20:00,0.016
2016-08-06 06:24:00,0.015
2016-08-06 06:30:00,0.013
2016-08-06 06:34:00,0.013
2016-08-06 06:40:00,0.014
2016-08-06 06:44:00,0.013
2016-08-06 06:50:00,0.016
2016-08-06 06:54:00,0.016
2016-08-06 07:00:00,0.015
2016-08-06 07:04:00,0.014
2016-08-06 07:10:00,0.013
2016-08-06 07:14:00,0.014
2016-08-06 07:20:00,0.014
2016-08-06 07:24:00,0.014
